Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,Khối lượng,% Thay đổi
17/11/2023,42.2,45.2,45.2,42.15,11.57M,-6.43%
16/11/2023,45.1,45.4,45.4,44.85,2.34M,-0.66%
15/11/2023,45.4,45.4,45.6,44.9,6.21M,1.00%
14/11/2023,44.95,44.95,45.5,44.5,3.85M,0.33%
13/11/2023,44.8,45.05,45.05,44.45,3.95M,-0.33%
10/11/2023,44.95,45,45.2,44.4,5.10M,-0.99%
09/11/2023,45.4,44,45.7,44,7.31M,5.58%
08/11/2023,43,41.9,43.05,41.6,4.75M,2.26%
07/11/2023,42.05,41.8,42.15,41.25,4.22M,-0.12%
06/11/2023,42.1,41.95,42.3,41.65,4.29M,1.20%
03/11/2023,41.6,41.7,42.1,41.25,4.09M,0.36%
02/11/2023,41.45,40.5,41.5,39.65,6.05M,2.60%
01/11/2023,40.4,39.7,40.5,39.45,4.62M,-0.25%
31/10/2023,40.5,41.05,41.55,40.45,5.94M,-2.41%
30/10/2023,41.5,41.3,41.55,39.75,6.06M,-0.24%
27/10/2023,41.6,41.65,41.8,38.7,14.00M,0.00%
26/10/2023,41.6,42.9,42.95,41.6,15.11M,-6.94%
25/10/2023,44.7,44.2,45.3,43.85,6.23M,2.88%
24/10/2023,43.45,43.2,43.5,42.9,2.82M,0.12%
23/10/2023,43.4,43.35,43.4,42.6,4.90M,0.12%
20/10/2023,43.35,43,43.35,41.85,5.95M,0.35%
19/10/2023,43.2,43.8,43.9,42.4,5.38M,-1.37%
18/10/2023,43.8,44.05,44.55,41.5,8.87M,-0.45%
17/10/2023,44,45,45.15,44,4.85M,-2.22%
16/10/2023,45,46.05,46.05,45,4.84M,-2.39%
13/10/2023,46.1,46.05,46.45,45.55,5.06M,-0.86%
12/10/2023,46.5,46,47.3,45.8,7.71M,2.31%
11/10/2023,45.45,45.05,45.45,45,3.63M,1.22%
10/10/2023,44.9,45.6,46.15,44.9,5.86M,-0.66%
09/10/2023,45.2,46,46.05,45.2,4.89M,-1.63%
06/10/2023,45.95,45.9,46.25,45,6.19M,0.77%
05/10/2023,45.6,46.2,46.4,44.8,5.36M,-1.08%
04/10/2023,46.1,44.5,46.3,44.05,6.72M,3.60%
03/10/2023,44.5,45.9,46,43.85,12.90M,-5.12%
02/10/2023,46.9,47,47.55,46.5,5.08M,0.11%
29/09/2023,46.85,45.2,48.15,45.15,13.57M,4.11%
28/09/2023,45,45.2,45.3,44.1,6.89M,-0.44%
27/09/2023,45.2,44.6,45.25,44.05,8.89M,0.44%
26/09/2023,45,46,46.75,44.55,15.11M,-3.23%
25/09/2023,46.5,50.1,50.4,46.5,16.84M,-7.00%
22/09/2023,50,51.5,51.6,49.8,17.45M,-4.21%
21/09/2023,52.2,53.8,53.8,52.2,8.50M,-2.43%
20/09/2023,53.5,52,53.5,51.7,11.80M,3.48%
19/09/2023,51.7,53.5,53.9,51.5,12.79M,-2.45%
18/09/2023,53,53.6,53.6,52.4,11.46M,-1.12%
15/09/2023,53.6,56,56.3,53.2,18.95M,-3.42%
14/09/2023,55.5,59.1,59.3,55.5,26.86M,-6.25%
13/09/2023,59.2,60.8,61.4,59.1,16.32M,-1.82%
12/09/2023,60.3,59.8,60.5,59.1,15.07M,2.03%
11/09/2023,59.1,60.1,61.4,59.1,16.36M,0.00%
08/09/2023,59.1,60.5,60.6,59.1,28.22M,-2.80%
